evento,valor,tipo,mes_ano,fonte,Saldo Anterior (R$),Débitos (R$),Créditos (R$)
Taxa Auxiliar Administracao,1096.2,DESPESA,2022-06,XLSX,,,
Reemb.mat.expediente,109.62,DESPESA,2022-06,XLSX,,,
Pg.vale Transporte,1528.8,DESPESA,2022-06,XLSX,,,
Pg.seg.vida Func.06/2022,252.03,DESPESA,2022-06,XLSX,,,
Pg.vale Refeição/Alimentação,202.5,DESPESA,2022-06,XLSX,,,
Pg.folha Func.bco.,9.0,DESPESA,2022-06,XLSX,,,
Pg.salário,2318.57,DESPESA,2022-06,XLSX,,,
Água,6883.4,DESPESA,2022-06,XLSX,,,
Pg.ceee,933.34,DESPESA,2022-06,XLSX,,,
Peças Elevador,1593.67,DESPESA,2022-06,XLSX,,,
Pg.manut.elevador,840.0,DESPESA,2022-06,XLSX,,,
Pg.bóia,629.17,DESPESA,2022-06,XLSX,,,
Pg.fechadura,140.0,DESPESA,2022-06,XLSX,,,
Pg.mat.limpeza,728.16,DESPESA,2022-06,XLSX,,,
Pg.recarga Celular,95.0,DESPESA,2022-06,XLSX,,,
Pg.issqn,663.8,DESPESA,2022-06,XLSX,,,
Pg.transações Bco.ted/Doc,18.9,DESPESA,2022-06,XLSX,,,
Pg.correio Conv.assemb.c/Ar,441.45,DESPESA,2022-06,XLSX,,,
Pg.declaração Pmpa/Issqndec,29.0,DESPESA,2022-06,XLSX,,,
Pg.emissão Darf/Impostos,35.0,DESPESA,2022-06,XLSX,,,
Pg.impressões/Fotoc.,51.0,DESPESA,2022-06,XLSX,,,
Pg.efd-Reinf/E-Social,27.0,DESPESA,2022-06,XLSX,,,
Pg.seguro Incêndio,981.25,DESPESA,2022-06,XLSX,,,
Subtotal,49022.83,DESPESA,2022-06,XLSX,,,
Outros Eventos,54639.48,RECEITA,2022-07,XLSX,,,
Fundo Obras,3187.96,RECEITA,2022-07,XLSX,,,
Rec.condomínio,49234.78,RECEITA,2022-07,XLSX,,,
Rec.alug.depósito,100.0,RECEITA,2022-07,XLSX,,,
Dif.fdo.reserva,90.15,RECEITA,2022-07,XLSX,,,
Rec.cond.estacionamento,600.0,RECEITA,2022-07,XLSX,,,
Fundo Reserva,36.59,RECEITA,2022-07,XLSX,,,
Rec.taxa Uso Box,590.0,RECEITA,2022-07,XLSX,,,
Rec.devolução Retirada,800.0,RECEITA,2022-07,XLSX,,,
Rec. Multa,82.26,RECEITA,2022-07,XLSX,,,
Rec.multa+C.m.+Jrs.,83.02,RECEITA,2022-07,XLSX,,,
Subtotal,54804.76,RECEITA,2022-07,XLSX,,,
Pg.serv.portaria,16660.0,DESPESA,2022-07,XLSX,,,
Pg.fgts,268.34,DESPESA,2022-07,XLSX,,,
Pg.adto.salário,600.0,DESPESA,2022-07,XLSX,,,
Pg.serv.limp.,3785.0,DESPESA,2022-07,XLSX,,,
Pg.síndico Prof.,1750.0,DESPESA,2022-07,XLSX,,,
Pg.pis/Cofins/Csll,535.2,DESPESA,2022-07,XLSX,,,
Pg.darf Inss(E-Social/Reinf),1645.54,DESPESA,2022-07,XLSX,,,
Pg.pis,33.54,DESPESA,2022-07,XLSX,,,
Pg.vale Transporte,812.2,DESPESA,2022-07,XLSX,,,
Pg.secovimed,144.45,DESPESA,2022-07,XLSX,,,
Pg.férias Período,2087.8,DESPESA,2022-07,XLSX,,,
Taxa Auxiliar Administracao,1096.2,DESPESA,2022-07,XLSX,,,
Reemb.mat.expediente,109.62,DESPESA,2022-07,XLSX,,,
Pg.vale Refeição/Alimentação,202.5,DESPESA,2022-07,XLSX,,,
