evento,valor,tipo,mes_ano,macro_categoria,motivo_anomalia
 Pg.assemb.ordin. ,204.7,DESPESA,2023-03,Outros,Evento sem categoria mapeada
 Pg.vistoria Hidráulica ,1393.72,DESPESA,2023-03,Outros,Evento sem categoria mapeada
 Pg.materiais ,499.3,DESPESA,2023-03,Outros,Evento sem categoria mapeada
 Pg.correio Conv.assemb.c/Ar ,394.45,DESPESA,2023-03,Outros,Evento sem categoria mapeada
 Pg.certificação Digital ,351.0,DESPESA,2023-03,Outros,Evento sem categoria mapeada
 Valor ,892.81,DESPESA,2023-03,Outros,Evento sem categoria mapeada
 Pg.custas Judiciais ,148.71,DESPESA,2023-03,Outros,Evento sem categoria mapeada
 Valor ,892.81,RECEITA,2023-03,Outros,Evento sem categoria mapeada
 Pg. Irrf ,30.31,DESPESA,2023-03,Outros,Evento sem categoria mapeada
 Pg.escada ,437.5,DESPESA,2023-04,Outros,Evento sem categoria mapeada
 Pg.materiais ,54.0,DESPESA,2023-04,Outros,Evento sem categoria mapeada
 Pg. ,572.2,DESPESA,2023-04,Outros,Evento sem categoria mapeada
 Pg.renovação Cert.digital ,123.0,DESPESA,2023-04,Outros,Evento sem categoria mapeada
 Pg.sacos Lixo ,1241.39,DESPESA,2023-04,Outros,Evento sem categoria mapeada
 Pg.honorários ,1500.0,DESPESA,2023-04,Outros,Evento sem categoria mapeada
 Pg.escada ,437.5,DESPESA,2023-05,Outros,Evento sem categoria mapeada
 Pg.materiais ,47.5,DESPESA,2023-05,Outros,Evento sem categoria mapeada
 Reparos Gerais ,2000.0,DESPESA,2023-07,Outros,Evento sem categoria mapeada
 Pg.recarga Extintores ,3256.5,DESPESA,2023-07,Outros,Evento sem categoria mapeada
 Pg.equipamentos ,618.65,DESPESA,2023-07,Outros,Evento sem categoria mapeada
 Água ,18950.58,DESPESA,2023-07,Outros,Evento sem categoria mapeada
 Pg.calhas ,2500.0,DESPESA,2023-07,Outros,Evento sem categoria mapeada
