mes_ano,tipo,evento,valor,macro_categoria,origem,source,debito,credito,subconta
2022-05,receita,REC.CONDOMÍNIO,41248.84,Receitas Condominiais,xlsx,xlsx,,,
2022-05,receita,FUNDO RESERVA,1927.26,Fundos,xlsx,xlsx,,,
2022-05,receita,REC.TAXA USO BOX,190.0,Fundos,xlsx,xlsx,,,
2022-05,receita,FUNDO OBRAS,22.98,Fundos,xlsx,xlsx,,,
2022-05,receita,REC. MULTA,108.19,Receitas Condominiais,xlsx,xlsx,,,
2022-05,receita,REC.MULTA+C.M.+JRS.,23.31,Receitas Condominiais,xlsx,xlsx,,,
2022-05,despesa,PG.SALÁRIO,4637.14,Pessoal,xlsx,xlsx,,,
2022-05,despesa,PG.FGTS,268.34,Pessoal,xlsx,xlsx,,,
2022-05,despesa,PG.ADTO.SALÁRIO,600.0,Pessoal,xlsx,xlsx,,,
2022-05,despesa,PG.VALE REFEIÇÃO/ALIMENTAÇÃO,411.0,Pessoal,xlsx,xlsx,,,
2022-05,despesa,PG.PIS,33.54,Pessoal,xlsx,xlsx,,,
2022-05,despesa,PG.DARF INSS(E-SOCIAL/REINF),1120.84,Pessoal,xlsx,xlsx,,,
2022-05,despesa,PG.SECOVIMED,144.45,Taxas e Impostos,xlsx,xlsx,,,
2022-05,despesa,PG.VALE TRANSPORTE,1443.6,Pessoal,xlsx,xlsx,,,
2022-05,despesa,PG.SÍNDICO PROF.,1750.0,Pessoal,xlsx,xlsx,,,
2022-05,despesa,TAXA AUXILIAR ADMINISTRACAO,1096.2,Administração,xlsx,xlsx,,,
2022-05,despesa,REEMB.MAT.EXPEDIENTE,109.62,Administração,xlsx,xlsx,,,
2022-05,despesa,PG.FOLHA FUNC.BCO.,9.0,Administração,xlsx,xlsx,,,
2022-05,despesa,PG.SEG.VIDA FUNC.05/2022,252.03,Pessoal,xlsx,xlsx,,,
2022-05,despesa,PG.ASSEMB.EXTRA,204.7,Outros,xlsx,xlsx,,,
2022-05,despesa,ÁGUA,6809.78,Outros,xlsx,xlsx,,,
2022-05,despesa,PG.CEEE,914.6,Utilidades,xlsx,xlsx,,,
2022-05,despesa,PG.INSTALAÇÃO,1601.78,Manutenção,xlsx,xlsx,,,
2022-05,despesa,PG.EXTINTORES,30.0,Outros,xlsx,xlsx,,,
2022-05,despesa,PG.MANUT.ELEVADOR,857.64,Manutenção,xlsx,xlsx,,,
2022-05,despesa,PEÇAS ELEVADOR,2453.34,Manutenção,xlsx,xlsx,,,
2022-05,despesa,PG.,55.26,Outros,xlsx,xlsx,,,
2022-05,despesa,PG.MATERIAIS,2284.43,Outros,xlsx,xlsx,,,
2022-05,despesa,PG.MAT.LIMPEZA,372.76,Utilidades,xlsx,xlsx,,,
2022-05,despesa,PG.IMPRESSÕES/FOTOC.,212.0,Administração,xlsx,xlsx,,,
2022-05,despesa,PG.ENCERRAMENTO,10533.38,Outros,xlsx,xlsx,,,
2022-05,despesa,PG.SEGURO INCÊNDIO,981.25,Administração,xlsx,xlsx,,,
2022-05,despesa,PG.ISSQN,468.43,Taxas e Impostos,xlsx,xlsx,,,
2022-05,despesa,PG.DECLARAÇÃO PMPA/ISSQNDEC,29.0,Taxas e Impostos,xlsx,xlsx,,,
2022-05,despesa,PG.EMISSÃO DARF/IMPOSTOS,35.0,Pessoal,xlsx,xlsx,,,
